Date,C,H,L,O,V
2013-12-04,2.7191998958587646,2.7495999336242676,2.706899881362915,2.7355000972747803,65546
2013-12-05,2.7126998901367188,2.749000072479248,2.696700096130371,2.7114999294281006,42413
2013-12-06,2.726900100708008,2.754499912261963,2.7100000381469727,2.717900037765503,55230
2013-12-09,2.6749000549316406,2.737799882888794,2.6661999225616455,2.7249999046325684,55600
2013-12-10,2.6828999519348145,2.704900026321411,2.661400079727173,2.674099922180176,55831
2013-12-11,2.661099910736084,2.677500009536743,2.6419999599456787,2.6719000339508057,58583
2013-12-12,2.6347999572753906,2.681999921798706,2.6310999393463135,2.6649999618530273,49598
2013-12-13,2.629300117492676,2.6438000202178955,2.6152000427246094,2.6331000328063965,42493
2013-12-16,2.643699884414673,2.6774001121520996,2.625699996948242,2.630000114440918,32895
2013-12-17,2.647200107574463,2.654099941253662,2.6317999362945557,2.640399932861328,44661
2013-12-18,2.6972999572753906,2.700700044631958,2.6466000080108643,2.650399923324585,40736
2013-12-19,2.7400999069213867,2.7462000846862793,2.687999963760376,2.6975998878479004,34753
2013-12-20,2.783099889755249,2.7906999588012695,2.7393999099731445,2.743499994277954,32095
2013-12-23,2.7802999019622803,2.793299913406372,2.7685999870300293,2.778899908065796,27502
2013-12-24,2.814199924468994,2.826900005340576,2.7778000831604004,2.7804999351501465,13856
2013-12-26,2.819999933242798,2.846299886703491,2.814199924468994,2.817500114440918,20112
2013-12-27,2.8160998821258545,2.8447999954223633,2.806999921798706,2.8224000930786133,23045
2013-12-30,2.7876999378204346,2.8304998874664307,2.7832000255584717,2.821000099182129,26286
2013-12-31,2.785799980163574,2.7985000610351562,2.778599977493286,2.7913999557495117,27430
2014-01-02,2.694999933242798,2.797499895095825,2.6923000812530518,2.7880001068115234,45070
2014-01-03,2.6487998962402344,2.713399887084961,2.646199941635132,2.700700044631958,45556
2014-01-06,2.6459999084472656,2.6740000247955322,2.6424999237060547,2.650399923324585,49807
2014-01-07,2.6786000728607178,2.689199924468994,2.655900001525879,2.6600000858306885,55907
2014-01-08,2.6563000679016113,2.683000087738037,2.6533000469207764,2.6730000972747803,53498
2014-01-09,2.6426000595092773,2.6858999729156494,2.631700038909912,2.6684999465942383,46693
2014-01-10,2.669100046157837,2.680999994277954,2.6328999996185303,2.6445000171661377,48853
2014-01-13,2.6340999603271484,2.680000066757202,2.62280011177063,2.678999900817871,53530
2014-01-14,2.6224000453948975,2.6386001110076904,2.5987000465393066,2.626499891281128,46256
2014-01-15,2.6263999938964844,2.6410000324249268,2.6031999588012695,2.614500045776367,42084
